extrap measurements 4 225
400 4 70 3 1988.8185623208908
400 4 80 1 2115.1053836538917
400 4 80 2 2150.6865073199187
400 4 80 3 2108.350109032433
400 4 90 1 2236.5777157332677
400 4 90 2 2158.8890749211027
400 4 90 3 2154.8426340926076
400 8 70 1 2365.9187489998367
400 8 70 2 2415.653279824845
400 8 70 3 2363.130653395993
400 8 80 1 2496.215340363346
400 8 80 2 2493.0177437730895
400 8 80 3 2436.74895907524
400 8 90 1 2555.549074947191
400 8 90 2 2584.773278052089
400 8 90 3 2570.342265962622
400 16 70 1 4243.388618411932
400 16 70 2 4313.736564713099
400 16 70 3 4314.848233562897
400 16 80 1 4342.203124351353
400 16 80 2 4377.18082756854
400 16 80 3 4451.597678901408
400 16 90 1 4404.5385133896425
400 16 90 2 4482.049964377045
400 16 90 3 4488.316123331272
600 1 70 1 1942.0463976345807
600 1 70 2 1969.4995195239892
600 1 70 3 2007.3524255584625
600 1 80 1 2048.7503039149124
600 1 80 2 2023.7577115334807
600 1 80 3 2024.2439573087208
600 1 90 1 2129.115077201067
600 1 90 2 2160.2078493163763
600 1 90 3 2109.3788664912877
600 2 70 1 1963.1719721330433
600 2 70 2 1969.8995357124652
600 2 70 3 1946.7381070330814
600 2 80 1 2061.5141103328824
600 2 80 2 2048.3142898264937
600 2 80 3 2042.8191425892446
600 2 90 1 2143.9309096460206
600 2 90 2 2154.8479332011816
600 2 90 3 2167.247983083375
600 4 70 1 2069.808382244895
600 4 70 2 2051.495681467797
600 4 70 3 2074.3105976425372
600 4 80 1 2128.5621298062856
600 4 80 2 2099.3393312664866
600 4 80 3 2088.8591420208077
600 4 90 1 2251.4262423750774
600 4 90 2 2258.7705407692356
600 4 90 3 2251.46876185252
600 8 70 1 2392.941679872935
600 8 70 2 2437.5582347219715
600 8 70 3 2450.196165928098
600 8 80 1 2515.573797483231
600 8 80 2 2475.083230877993
600 8 80 3 2463.6174356830848
600 8 90 1 2543.3438892306976
600 8 90 2 2570.286605495122
600 8 90 3 2625.742246828044
600 16 70 1 4315.521496604742
600 16 70 2 4266.6176097208245
600 16 70 3 4264.091488400312
600 16 80 1 4375.799370196417
600 16 80 2 4441.289064893377
600 16 80 3 4382.420474912415
600 16 90 1 4450.770353509668
600 16 90 2 4458.418241053664
600 16 90 3 4480.42762623574
800 1 70 1 1970.6983318507641
800 1 70 2 1998.7120709224967
800 1 70 3 1992.4732495774151
800 1 80 1 2038.4075711722874
800 1 80 2 2050.764225649176
800 1 80 3 2106.322768499158
800 1 90 1 2152.4656530805055
800 1 90 2 2143.102862279892
800 1 90 3 2189.3671070752816
800 2 70 1 1959.6013611060594
800 2 70 2 1996.641822080332
800 2 70 3 1991.0508474060707
800 2 80 1 2055.787861430049
800 2 80 2 2051.4076863864766
800 2 80 3 2065.8192729720354
800 2 90 1 2181.029807330103
800 2 90 2 2154.098499231705
800 2 90 3 2140.915994217276
800 4 70 1 2037.7974855484917
800 4 70 2 2033.7419871055363
800 4 70 3 2046.980249576759
800 4 80 1 2111.666666195232
800 4 80 2 2150.5063039336746
800 4 80 3 2134.9974700424827
800 4 90 1 2215.9011266999382
800 4 90 2 2198.878254000125
800 4 90 3 2244.5799414558596
800 8 70 1 2386.436981803019
800 8 70 2 2470.819346183722
800 8 70 3 2448.2264303966963
800 8 80 1 2511.0124961631104
800 8 80 2 2494.501039809816
800 8 80 3 2522.7268606384628
800 8 90 1 2573.4881099797512
800 8 90 2 2576.8031018497727
800 8 90 3 2577.4689222103502
800 16 70 1 4370.8986846815305
800 16 70 2 4338.898645374341
800 16 70 3 4427.724349325584
800 16 80 1 4437.425441207629
800 16 80 2 4445.910640659202
800 16 80 3 4453.9147719851535
800 16 90 1 4517.320117546588
800 16 90 2 4432.71466572304
800 16 90 3 4554.229760564815
1000 1 70 1 1975.1900629979364
1000 1 70 2 2034.8523349479035
1000 1 70 3 1999.917250422451
1000 1 80 1 2084.1492604726996
1000 1 80 2 2101.4626186710852
1000 1 80 3 2127.5077920172134
1000 1 90 1 2208.461144333413
1000 1 90 2 2216.2588476596006
1000 1 90 3 2208.379151567671
1000 2 70 1 2017.853434623086
1000 2 70 2 2004.788449489963
1000 2 70 3 2034.3718639465087
1000 2 80 1 2122.7359847115736
1000 2 80 2 2102.9236474793256
1000 2 80 3 2084.1759975223695
1000 2 90 1 2180.910759920798
1000 2 90 2 2142.6820601727727
1000 2 90 3 2160.4359876102753
1000 4 70 1 2090.208564601237
1000 4 70 2 2048.9314707726726
1000 4 70 3 2063.3411357785944
1000 4 80 1 2185.798636385006
1000 4 80 2 2131.938957576799
1000 4 80 3 2185.424358551508
1000 4 90 1 2274.872538580283
1000 4 90 2 2273.5982497056802
1000 4 90 3 2256.8664997397327
1000 8 70 1 2467.3847410345697
1000 8 70 2 2432.605067232978
1000 8 70 3 2395.1264119588714
1000 8 80 1 2495.3738144066997
1000 8 80 2 2557.9362748980807
1000 8 80 3 2509.991987055602
1000 8 90 1 2600.5548731429135
1000 8 90 2 2606.409675329512
1000 8 90 3 2586.394609759763
1000 16 70 1 4419.054086273723
1000 16 70 2 4350.736557615445
1000 16 70 3 4347.169295824505
1000 16 80 1 4397.339713584678
1000 16 80 2 4383.16650429188
1000 16 80 3 4440.020976676391
1000 16 90 1 4601.07244682005
1000 16 90 2 4461.5523727807695
1000 16 90 3 4465.277545046352
